# Prim/Sec, RegionCode, ShortCode, Primary Name, Secondary Name, ...
#
# edge cases and exceptions:
#
# Rainy River - the airport has no IATA or ICAO code, so use Canadian code
# Busingen - too small to have any airport of any kind, so use BUSI
# Palestine - use closed/abandoned airports
# Ulan Batur - use an airport still under construction


P,RU,KUF,Europe/Samara
P,RU,GSV,Europe/Saratov
P,RU,ULV,Europe/Ulyanovsk
P,RU,VOG,Europe/Volgograd
P,RW,RW,Africa/Kigali
P,SA,SA,Asia/Riyadh
P,SB,SB,Pacific/Guadalcanal
P,SC,SC,Indian/Mahe
P,SD,SD,Africa/Khartoum
P,SE,SE,Europe/Stockholm
P,SG,SG,Asia/Singapore,Singapore
P,SH,SH,Atlantic/St_Helena
P,SI,SI,Europe/Ljubljana
P,SJ,SJ,Arctic/Longyearbyen
P,SJ,ENJA,Atlantic/Jan_Mayen
P,SK,SK,Europe/Bratislava
P,SL,SL,Africa/Freetown
P,SM,SM,Europe/San_Marino
P,SN,SN,Africa/Dakar
P,SO,SO,Africa/Mogadishu
P,SR,SR,America/Paramaribo
P,SS,SS,Africa/Juba
P,ST,ST,Africa/Sao_Tome
P,SV,SV,America/El_Salvador
P,SX,SX,America/Lower_Princes
P,SY,SY,Asia/Damascus
P,SZ,SZ,Africa/Mbabane
P,TC,TC,America/Grand_Turk
P,TD,TD,Africa/Ndjamena
P,TF,TF,Indian/Kerguelen
P,TG,TG,Africa/Lome
P,TH,TH,Asia/Bangkok
P,TJ,TJ,Asia/Dushanbe
P,TK,TK,Pacific/Fakaofo
P,TL,TL,Asia/Dili
P,TM,TM,Asia/Ashgabat,Asia/Ashkhabad
P,TN,TN,Africa/Tunis
P,TO,TO,Pacific/Tongatapu
P,TR,TR,Europe/Istanbul,Asia/Istanbul,Turkey
P,TT,TT,America/Port_of_Spain
P,TV,TV,Pacific/Funafuti
P,TW,TW,Asia/Taipei
P,TZ,TZ,Africa/Dar_es_Salaam




S,,Europe/Vatican
P,,,Africa/Johannesburg
P,,,Asia/Qostanay
P,,,Asia/Samarkand
P,,,Asia/Tashkent
P,,,Asia/Ho_Chi_Minh
P,,,Pacific/Apia
P,,,Pacific/Wake
P,,,Pacific/Efate
P,,,Pacific/Wallis
P,,,Africa/Harare
P,,,Africa/Kampala
P,,,Africa/Lusaka
P,,,Africa/Timbuktu
P,,,America/Coral_Harbour
P,,,America/Ensenada
P,,,America/Montreal
P,,,America/Rosario
P,,,America/St_Thomas
P,,,America/St_Vincent
P,,,America/Tortola
P,,,Asia/Aden
P,,,Asia/Chongqing
P,,,Asia/Hanoi
P,,,Asia/Harbin
P,,,Asia/Kashgar
P,,,Asia/Tel_Aviv
P,,,Atlantic/Jan_Mayen
P,,,Europe/Belfast
P,,,Europe/Tiraspol
P,,,Indian/Mayotte
P,,,Pacific/Johnston
P,,,Pacific/Midway
P,,,Etc/GMT
P,,,Etc/UTC
P,,,Etc/GMT-14
P,,,Etc/GMT-13
P,,,Etc/GMT-12
P,,,Etc/GMT-11
P,,,Etc/GMT-10
P,,,Etc/GMT-9
P,,,Etc/GMT-8
P,,,Etc/GMT-7
P,,,Etc/GMT-6
P,,,Etc/GMT-5
P,,,Etc/GMT-4
P,,,Etc/GMT-3
P,,,Etc/GMT-2
P,,,Etc/GMT-1
P,,,Etc/GMT+1
P,,,Etc/GMT+2
P,,,Etc/GMT+3
P,,,Etc/GMT+4
P,,,Etc/GMT+5
P,,,Etc/GMT+6
P,,,Etc/GMT+7
P,,,Etc/GMT+8
P,,,Etc/GMT+9
P,,,Etc/GMT+10
P,,,Etc/GMT+11
P,,,Etc/GMT+12
P,,,WET
P,,,CET
P,,,MET
P,,,EET
P,,,Europe/Simferopol
P,,,Europe/Kiev
P,,,Europe/Uzhgorod
P,,,Europe/Zaporozhye
P,,,Factory
P,,,EST
P,,,MST
P,,,HST
P,,,EST5EDT
P,,,CST6CDT
P,,,MST7MDT
P,,,PST8PDT
P,,,America/New_York
P,,,America/Chicago
P,,,America/North_Dakota/Center
P,,,America/North_Dakota/New_Salem
P,,,America/North_Dakota/Beulah
P,,,America/Denver
P,,,America/Los_Angeles
P,,,America/Juneau
P,,,America/Sitka
P,,,America/Metlakatla
P,,,America/Yakutat
P,,,America/Anchorage
P,,,America/Nome
P,,,America/Adak
P,,,Pacific/Honolulu
P,,,America/Phoenix
P,,,America/Boise
P,,,America/Indiana/Indianapolis
P,,,America/Indiana/Marengo
P,,,America/Indiana/Vincennes
P,,,America/Indiana/Tell_City
P,,,America/Indiana/Petersburg
P,,,America/Indiana/Knox
P,,,America/Indiana/Winamac
P,,,America/Indiana/Vevay
P,,,America/Kentucky/Louisville
P,,,America/Kentucky/Monticello
